 Hrishikesh:0, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:0, Total:1, Time Stamp:2022-06-30 09:27:31.286445
 Hrishikesh:0, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:1, Total:2, Time Stamp:2022-06-30 09:28:27.676363
 Hrishikesh:0, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:2, Total:3, Time Stamp:2022-06-30 09:29:26.156715
 Hrishikesh:0, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:3, Total:4, Time Stamp:2022-06-30 09:29:58.547856
 Hrishikesh:0, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:4, Total:5, Time Stamp:2022-06-30 09:30:40.040079
 Hrishikesh:1, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:4, Total:6, Time Stamp:2022-06-30 09:31:15.267566
 Hrishikesh:2, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:4, Total:7, Time Stamp:2022-06-30 09:31:51.400998
 Hrishikesh:3, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:4, Total:8, Time Stamp:2022-06-30 09:32:31.355797
 Hrishikesh:4, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:4, Total:9, Time Stamp:2022-06-30 09:32:57.353763
 Hrishikesh:5, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:4, Total:10, Time Stamp:2022-06-30 09:33:30.466618
 Hrishikesh:6, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:4, Total:11, Time Stamp:2022-06-30 09:34:17.825323
 Hrishikesh:7, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:4, Total:12, Time Stamp:2022-06-30 09:35:09.049438
 Hrishikesh:8, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:4, Total:13, Time Stamp:2022-06-30 09:35:32.907894
 Hrishikesh:9, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:4, Total:14, Time Stamp:2022-06-30 09:36:10.349059
 Hrishikesh:9, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:5, Total:15, Time Stamp:2022-06-30 09:36:32.644036
 Hrishikesh:10, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:5, Total:16, Time Stamp:2022-06-30 09:37:14.669411
 Hrishikesh:11, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:5, Total:17, Time Stamp:2022-06-30 09:37:38.200623
 Hrishikesh:12, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:5, Total:18, Time Stamp:2022-06-30 09:37:44.844721
 Hrishikesh:12, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:6, Total:19, Time Stamp:2022-06-30 09:37:53.441879
 Hrishikesh:12, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:7, Total:20, Time Stamp:2022-06-30 09:38:03.994841
 Hrishikesh:12, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:8, Total:21, Time Stamp:2022-06-30 09:38:15.095124
 Hrishikesh:12, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:9, Total:22, Time Stamp:2022-06-30 09:38:28.449713
 Hrishikesh:12, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:10, Total:23, Time Stamp:2022-06-30 09:38:35.674774
 Hrishikesh:12, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:11, Total:24, Time Stamp:2022-06-30 09:38:46.356645
 Hrishikesh:12, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:12, Total:25, Time Stamp:2022-06-30 09:39:06.042261
 Hrishikesh:12, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:13, Total:26, Time Stamp:2022-06-30 09:39:17.173250
 Hrishikesh:12, Jeevitesh:0, Manish:2, Thayanitha:0, Muhilan:13, Total:27, Time Stamp:2022-06-30 09:39:34.217109
 Hrishikesh:12, Jeevitesh:0, Manish:3, Thayanitha:0, Muhilan:13, Total:28, Time Stamp:2022-06-30 09:39:45.895309
 Hrishikesh:12, Jeevitesh:0, Manish:4, Thayanitha:0, Muhilan:13, Total:29, Time Stamp:2022-06-30 09:39:59.370463
-------------------------------------EXISTING SESSION ENDS HERE-------------------------------------------------------
 Hrishikesh:0, Jeevitesh:1, Manish:0, Thayanitha:0, Muhilan:0, Total:1, Time Stamp:2022-06-30 09:46:04.647716
 Hrishikesh:0, Jeevitesh:1, Manish:0, Thayanitha:0, Muhilan:1, Total:2, Time Stamp:2022-06-30 09:46:31.760595
 Hrishikesh:0, Jeevitesh:1, Manish:0, Thayanitha:0, Muhilan:2, Total:3, Time Stamp:2022-06-30 09:47:07.499396
 Hrishikesh:0, Jeevitesh:1, Manish:0, Thayanitha:0, Muhilan:3, Total:4, Time Stamp:2022-06-30 09:47:15.941137
 Hrishikesh:1, Jeevitesh:1, Manish:0, Thayanitha:0, Muhilan:3, Total:5, Time Stamp:2022-06-30 09:47:26.979210
 Hrishikesh:1, Jeevitesh:1, Manish:0, Thayanitha:0, Muhilan:4, Total:6, Time Stamp:2022-06-30 09:47:36.768388
 Hrishikesh:1, Jeevitesh:1, Manish:0, Thayanitha:1, Muhilan:4, Total:7, Time Stamp:2022-06-30 09:47:46.070553
 Hrishikesh:1, Jeevitesh:1, Manish:1, Thayanitha:1, Muhilan:4, Total:8, Time Stamp:2022-06-30 09:48:04.009460
 Hrishikesh:2, Jeevitesh:1, Manish:1, Thayanitha:1, Muhilan:4, Total:9, Time Stamp:2022-06-30 09:48:21.316473
 Hrishikesh:2, Jeevitesh:2, Manish:1, Thayanitha:1, Muhilan:4, Total:10, Time Stamp:2022-06-30 09:49:01.580231
 Hrishikesh:2, Jeevitesh:3, Manish:1, Thayanitha:1, Muhilan:4, Total:11, Time Stamp:2022-06-30 09:49:13.743012
 Hrishikesh:2, Jeevitesh:4, Manish:1, Thayanitha:1, Muhilan:4, Total:12, Time Stamp:2022-06-30 09:49:29.674984
 Hrishikesh:2, Jeevitesh:4, Manish:1, Thayanitha:1, Muhilan:5, Total:13, Time Stamp:2022-06-30 09:49:44.076690
 Hrishikesh:2, Jeevitesh:4, Manish:2, Thayanitha:1, Muhilan:5, Total:14, Time Stamp:2022-06-30 09:49:57.601126
 Hrishikesh:2, Jeevitesh:4, Manish:2, Thayanitha:1, Muhilan:6, Total:15, Time Stamp:2022-06-30 09:50:08.578063
 Hrishikesh:2, Jeevitesh:4, Manish:2, Thayanitha:1, Muhilan:7, Total:16, Time Stamp:2022-06-30 09:50:19.974597
 Hrishikesh:2, Jeevitesh:4, Manish:2, Thayanitha:1, Muhilan:8, Total:17, Time Stamp:2022-06-30 09:50:31.481533
 Hrishikesh:2, Jeevitesh:5, Manish:2, Thayanitha:1, Muhilan:8, Total:18, Time Stamp:2022-06-30 09:50:57.875055
 Hrishikesh:2, Jeevitesh:5, Manish:2, Thayanitha:1, Muhilan:9, Total:19, Time Stamp:2022-06-30 09:51:12.899234
 Hrishikesh:3, Jeevitesh:5, Manish:2, Thayanitha:1, Muhilan:9, Total:20, Time Stamp:2022-06-30 09:51:25.248191
 Hrishikesh:3, Jeevitesh:5, Manish:2, Thayanitha:1, Muhilan:10, Total:21, Time Stamp:2022-06-30 09:51:56.056514
 Hrishikesh:4, Jeevitesh:5, Manish:2, Thayanitha:1, Muhilan:10, Total:22, Time Stamp:2022-06-30 09:52:04.703818
 Hrishikesh:4, Jeevitesh:6, Manish:2, Thayanitha:1, Muhilan:10, Total:23, Time Stamp:2022-06-30 09:52:18.319955
 Hrishikesh:5, Jeevitesh:6, Manish:2, Thayanitha:1, Muhilan:10, Total:24, Time Stamp:2022-06-30 09:52:48.371488
 Hrishikesh:5, Jeevitesh:6, Manish:2, Thayanitha:1, Muhilan:11, Total:25, Time Stamp:2022-06-30 09:53:20.017329
 Hrishikesh:6, Jeevitesh:6, Manish:2, Thayanitha:1, Muhilan:11, Total:26, Time Stamp:2022-06-30 09:53:40.327710
 Hrishikesh:7, Jeevitesh:6, Manish:2, Thayanitha:1, Muhilan:11, Total:27, Time Stamp:2022-06-30 09:53:54.649918
 Hrishikesh:7, Jeevitesh:6, Manish:2, Thayanitha:1, Muhilan:12, Total:28, Time Stamp:2022-06-30 09:54:36.675545
 Hrishikesh:7, Jeevitesh:6, Manish:2, Thayanitha:1, Muhilan:13, Total:29, Time Stamp:2022-06-30 09:54:46.071700
 Hrishikesh:7, Jeevitesh:6, Manish:2, Thayanitha:1, Muhilan:14, Total:30, Time Stamp:2022-06-30 09:55:21.949369
 Hrishikesh:7, Jeevitesh:6, Manish:3, Thayanitha:1, Muhilan:14, Total:31, Time Stamp:2022-06-30 09:55:38.115871
 Hrishikesh:8, Jeevitesh:6, Manish:3, Thayanitha:1, Muhilan:14, Total:32, Time Stamp:2022-06-30 09:56:02.680690
-------------------------------------EXISTING SESSION ENDS HERE-------------------------------------------------------
 Hrishikesh:0, Jeevitesh:0, Manish:0, Thayanitha:0, Muhilan:1, Total:1, Time Stamp:2022-06-30 10:00:42.044238
 Hrishikesh:0, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:1, Total:2, Time Stamp:2022-06-30 10:01:06.370107
 Hrishikesh:0, Jeevitesh:0, Manish:2, Thayanitha:0, Muhilan:1, Total:3, Time Stamp:2022-06-30 10:01:31.137572
 Hrishikesh:0, Jeevitesh:0, Manish:2, Thayanitha:1, Muhilan:1, Total:4, Time Stamp:2022-06-30 10:01:48.663380
 Hrishikesh:0, Jeevitesh:0, Manish:3, Thayanitha:1, Muhilan:1, Total:5, Time Stamp:2022-06-30 10:01:59.777913
 Hrishikesh:0, Jeevitesh:0, Manish:4, Thayanitha:1, Muhilan:1, Total:6, Time Stamp:2022-06-30 10:02:18.167494
 Hrishikesh:0, Jeevitesh:0, Manish:5, Thayanitha:1, Muhilan:1, Total:7, Time Stamp:2022-06-30 10:02:38.225899
 Hrishikesh:0, Jeevitesh:0, Manish:6, Thayanitha:1, Muhilan:1, Total:8, Time Stamp:2022-06-30 10:02:54.319669
 Hrishikesh:1, Jeevitesh:0, Manish:6, Thayanitha:1, Muhilan:1, Total:9, Time Stamp:2022-06-30 10:03:16.472292
 Hrishikesh:1, Jeevitesh:0, Manish:7, Thayanitha:1, Muhilan:1, Total:10, Time Stamp:2022-06-30 10:03:26.590565
 Hrishikesh:1, Jeevitesh:0, Manish:7, Thayanitha:1, Muhilan:2, Total:11, Time Stamp:2022-06-30 10:03:46.321346
 Hrishikesh:2, Jeevitesh:0, Manish:7, Thayanitha:1, Muhilan:2, Total:12, Time Stamp:2022-06-30 10:03:58.595989
 Hrishikesh:2, Jeevitesh:1, Manish:7, Thayanitha:1, Muhilan:2, Total:13, Time Stamp:2022-06-30 10:04:12.214303
 Hrishikesh:2, Jeevitesh:1, Manish:8, Thayanitha:1, Muhilan:2, Total:14, Time Stamp:2022-06-30 10:04:24.034436
 Hrishikesh:2, Jeevitesh:1, Manish:9, Thayanitha:1, Muhilan:2, Total:15, Time Stamp:2022-06-30 10:04:46.669574
 Hrishikesh:3, Jeevitesh:1, Manish:9, Thayanitha:1, Muhilan:2, Total:16, Time Stamp:2022-06-30 10:05:00.665389
 Hrishikesh:3, Jeevitesh:1, Manish:10, Thayanitha:1, Muhilan:2, Total:17, Time Stamp:2022-06-30 10:05:13.097052
 Hrishikesh:3, Jeevitesh:1, Manish:11, Thayanitha:1, Muhilan:2, Total:18, Time Stamp:2022-06-30 10:05:25.858588
 Hrishikesh:3, Jeevitesh:1, Manish:12, Thayanitha:1, Muhilan:2, Total:19, Time Stamp:2022-06-30 10:05:48.763134
 Hrishikesh:3, Jeevitesh:1, Manish:12, Thayanitha:1, Muhilan:3, Total:20, Time Stamp:2022-06-30 10:06:02.474207
 Hrishikesh:3, Jeevitesh:1, Manish:12, Thayanitha:1, Muhilan:4, Total:21, Time Stamp:2022-06-30 10:06:54.665267
 Hrishikesh:3, Jeevitesh:1, Manish:12, Thayanitha:1, Muhilan:5, Total:22, Time Stamp:2022-06-30 10:07:05.311002
 Hrishikesh:3, Jeevitesh:1, Manish:12, Thayanitha:1, Muhilan:6, Total:23, Time Stamp:2022-06-30 10:08:08.679634
 Hrishikesh:3, Jeevitesh:1, Manish:12, Thayanitha:1, Muhilan:7, Total:24, Time Stamp:2022-06-30 10:08:18.170911
 Hrishikesh:3, Jeevitesh:1, Manish:12, Thayanitha:1, Muhilan:8, Total:25, Time Stamp:2022-06-30 10:09:04.402007
-------------------------------------EXISTING SESSION ENDS HERE-------------------------------------------------------
 Hrishikesh:0, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:0, Total:1, Time Stamp:2022-06-30 10:12:06.393619
 Hrishikesh:1, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:0, Total:2, Time Stamp:2022-06-30 10:12:30.286428
 Hrishikesh:1, Jeevitesh:1, Manish:1, Thayanitha:0, Muhilan:0, Total:3, Time Stamp:2022-06-30 10:12:48.358012
 Hrishikesh:1, Jeevitesh:1, Manish:1, Thayanitha:0, Muhilan:1, Total:4, Time Stamp:2022-06-30 10:12:59.408614
 Hrishikesh:1, Jeevitesh:1, Manish:1, Thayanitha:0, Muhilan:2, Total:5, Time Stamp:2022-06-30 10:13:12.332399
 Hrishikesh:1, Jeevitesh:1, Manish:1, Thayanitha:0, Muhilan:3, Total:6, Time Stamp:2022-06-30 10:13:27.317555
 Hrishikesh:1, Jeevitesh:1, Manish:1, Thayanitha:0, Muhilan:4, Total:7, Time Stamp:2022-06-30 10:14:26.542003
 Hrishikesh:2, Jeevitesh:1, Manish:1, Thayanitha:0, Muhilan:4, Total:8, Time Stamp:2022-06-30 10:14:39.097110
 Hrishikesh:2, Jeevitesh:1, Manish:2, Thayanitha:0, Muhilan:4, Total:9, Time Stamp:2022-06-30 10:15:15.912319
 Hrishikesh:2, Jeevitesh:1, Manish:2, Thayanitha:1, Muhilan:4, Total:10, Time Stamp:2022-06-30 10:15:34.141421
 Hrishikesh:2, Jeevitesh:1, Manish:2, Thayanitha:1, Muhilan:5, Total:11, Time Stamp:2022-06-30 10:16:16.289855
 Hrishikesh:3, Jeevitesh:1, Manish:2, Thayanitha:1, Muhilan:5, Total:12, Time Stamp:2022-06-30 10:16:28.720770
 Hrishikesh:3, Jeevitesh:1, Manish:3, Thayanitha:1, Muhilan:5, Total:13, Time Stamp:2022-06-30 10:16:44.278359
 Hrishikesh:3, Jeevitesh:1, Manish:4, Thayanitha:1, Muhilan:5, Total:14, Time Stamp:2022-06-30 10:17:16.337714
 Hrishikesh:3, Jeevitesh:2, Manish:4, Thayanitha:1, Muhilan:5, Total:15, Time Stamp:2022-06-30 10:17:34.070618
 Hrishikesh:4, Jeevitesh:2, Manish:4, Thayanitha:1, Muhilan:5, Total:16, Time Stamp:2022-06-30 10:18:04.486345
 Hrishikesh:4, Jeevitesh:3, Manish:4, Thayanitha:1, Muhilan:5, Total:17, Time Stamp:2022-06-30 10:18:19.192441
 Hrishikesh:4, Jeevitesh:3, Manish:4, Thayanitha:1, Muhilan:6, Total:18, Time Stamp:2022-06-30 10:18:31.841912
 Hrishikesh:5, Jeevitesh:3, Manish:4, Thayanitha:1, Muhilan:6, Total:19, Time Stamp:2022-06-30 10:19:02.875689
 Hrishikesh:6, Jeevitesh:3, Manish:4, Thayanitha:1, Muhilan:6, Total:20, Time Stamp:2022-06-30 10:19:27.182552
 Hrishikesh:7, Jeevitesh:3, Manish:4, Thayanitha:1, Muhilan:6, Total:21, Time Stamp:2022-06-30 10:19:47.137146
 Hrishikesh:8, Jeevitesh:3, Manish:4, Thayanitha:1, Muhilan:6, Total:22, Time Stamp:2022-06-30 10:19:59.829860
-------------------------------------EXISTING SESSION ENDS HERE-------------------------------------------------------
 Hrishikesh:0, Jeevitesh:0, Manish:0, Thayanitha:0, Muhilan:1, Total:1, Time Stamp:2022-06-30 10:24:13.801559
 Hrishikesh:0, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:1, Total:2, Time Stamp:2022-06-30 10:25:04.072060
 Hrishikesh:0, Jeevitesh:1, Manish:1, Thayanitha:0, Muhilan:1, Total:3, Time Stamp:2022-06-30 10:25:18.370107
